Datetime,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Line Number,Cause for Delay,Station Name
6/15/2020 7:16:00,Monday,YONGE BD STATION,SUDP,5,8,W,BD,5113,LINE 2,Disorderly Patron,NO MATCH
6/15/2020 15:50:00,Monday,YONGE BD STATION,SUDP,3,6,E,BD,5079,LINE 2,Disorderly Patron,NO MATCH
6/18/2020 19:49:00,Thursday,YONGE BD STATION,EUNT,3,7,E,BD,5212,LINE 2,Equipment - No Trouble Found,NO MATCH
6/22/2020 13:43:00,Monday,ISLINGTON STATION,TUMVS,0,0,E,YU,5058,LINE 1,Operator Violated Signal,NO MATCH
6/23/2020 18:33:00,Tuesday,YONGE BD STATION,TUOS,3,6,W,BD,5168,LINE 2,Operator Overshot Platform,NO MATCH
6/27/2020 4:38:00,Saturday,YONGE BD STATION,PUTR,17,0,E,BD,5204,LINE 2,Rail Related Problem,NO MATCH
7/3/2020 1:27:00,Friday,YONGE BD STATION,SUDP,0,0,W,BD,5308,LINE 2,Disorderly Patron,NO MATCH
7/6/2020 20:35:00,Monday,YONGE BD STATION,SUUT,4,10,E,BD,5158,LINE 2,Unauthorized at Track Level,NO MATCH
7/8/2020 5:45:00,Wednesday,SRT LINE,MRWEA,0,0,B,SRT,0,LINE 3,Unrecognized Code,NO MATCH
7/10/2020 5:45:00,Friday,SRT LINE,MRWEA,0,0,B,SRT,0,LINE 3,Unrecognized Code,NO MATCH
7/11/2020 5:48:00,Saturday,SRT LINE,MRWEA,0,0,B,SRT,0,LINE 3,Unrecognized Code,NO MATCH
7/17/2020 12:44:00,Friday,YONGE BD STATION,MUPR1,114,117,W,BD,5207,LINE 2,Priority One - Train in Contact With Person,NO MATCH
7/17/2020 20:05:00,Friday,YONGE BD STATION,SUO,0,0,E,BD,5073,LINE 2,Passenger Other,NO MATCH
7/21/2020 17:07:00,Tuesday,SRT LINE,MRWEA,0,0,S,SRT,0,LINE 3,Unrecognized Code,NO MATCH
7/24/2020 16:25:00,Friday,YONGE BD STATION,MUPAA,0,0,W,BD,5276,LINE 2,Passenger Assistance Alarm Activated - No Trouble Found,NO MATCH
7/26/2020 9:02:00,Sunday,SRT LINE,MRWEA,0,0,B,SRT,0,LINE 3,Unrecognized Code,NO MATCH
7/26/2020 17:33:00,Sunday,YONGE BD STATION,MUD,0,0,W,BD,5313,LINE 2,Door Problems - Passenger Related,NO MATCH
7/28/2020 9:55:00,Tuesday,YONGE BD STATION,MUPAA,0,0,W,BD,5144,LINE 2,Passenger Assistance Alarm Activated - No Trouble Found,NO MATCH
7/28/2020 10:23:00,Tuesday,SRT LINE,MRWEA,0,0,B,SRT,0,LINE 3,Unrecognized Code,NO MATCH
7/29/2020 11:19:00,Wednesday,SRT LINE,MRWEA,0,0,B,SRT,0,LINE 3,Unrecognized Code,NO MATCH
7/30/2020 18:09:00,Thursday,YONGE BD STATION,SUDP,4,7,W,BD,5154,LINE 2,Disorderly Patron,NO MATCH
7/30/2020 22:19:00,Thursday,YONGE BD STATION,SUO,0,0,E,BD,5049,LINE 2,Passenger Other,NO MATCH
8/1/2020 17:58:00,Saturday,YONGE BD STATION,SUDP,0,0,E,BD,0,LINE 2,Disorderly Patron,NO MATCH
8/8/2020 1:24:00,Saturday,LEAVING SHEPPARD/YONGE,TUSC,0,0,E,SHP,6186,LINE 4,Operator Overspeeding,NO MATCH
8/9/2020 11:56:00,Sunday,YONGE BD STATION,MUDD,6,10,W,BD,5097,LINE 2,Door Problems - Debris Related,NO MATCH
8/12/2020 14:57:00,Wednesday,YONGE BD STATION,SUUT,9,12,E,BD,5160,LINE 2,Unauthorized at Track Level,NO MATCH
8/14/2020 8:04:00,Friday,YONGE BD STATION,MUIS,0,0,W,BD,0,LINE 2,Injured or ill Customer (In Station) - Transported,NO MATCH
8/18/2020 16:31:00,Tuesday,YONGE BD STATION,SUDP,3,6,E,BD,5188,LINE 2,Disorderly Patron,NO MATCH
8/20/2020 18:50:00,Thursday,YONGE BD STATION,SUDP,0,0,W,BD,5274,LINE 2,Disorderly Patron,NO MATCH
8/20/2020 20:40:00,Thursday,YONGE BD STATION,SUDP,8,14,W,BD,5335,LINE 2,Disorderly Patron,NO MATCH
8/21/2020 1:57:00,Friday,RAMPS BAY LOWER,MUPLB,4,0,W,BD,5108,LINE 2,Fire/Smoke Plan B - Source TTC,NO MATCH
8/21/2020 19:35:00,Friday,YONGE STATION,MUIE,0,0,W,BD,5104,LINE 2,Injured Employee,NO MATCH
